ds,y
2008-01-01,1480
2008-01-02,2383
2008-01-03,2473
2008-01-04,2248
2008-01-05,1639
2008-01-06,1720
2008-01-07,2418
2008-01-08,2223
2008-01-09,2135
2008-01-10,2283
2008-01-11,2209
2008-01-12,1410
2008-01-13,1585
2008-01-14,2417
2008-01-15,2328
2008-01-16,2539
2008-01-17,2355
2008-01-18,2308
2008-01-19,1706
2008-01-20,1598
2008-01-21,2360
2008-01-22,2560
2008-01-23,2684
2008-01-24,2530
2008-01-25,2289
2008-01-26,1534
2008-01-27,1707
2008-01-28,2691
2008-01-29,2725
2008-01-30,2512
2008-02-01,2163
2008-02-02,1608
2008-02-03,1709
2008-02-04,2796
2008-02-05,2784
2008-02-06,2606
2008-02-07,2631
2008-02-08,2292
2008-02-09,1745
2008-02-10,1731
2008-02-11,3380
2008-02-12,3147
2008-02-13,2964
2008-02-14,2768
2008-02-15,2366
2008-02-16,1589
2008-02-17,2011
2008-02-18,3494
2008-02-19,4094
2008-02-20,3600
2008-02-21,3582
2008-02-22,3046
2008-02-23,2085
2008-02-24,2935
2008-02-25,5535
2008-02-26,5690
2008-02-27,6569
2008-02-28,0
2008-02-29,7231
2008-03-01,0
2008-03-02,8656
2008-03-03,0
2008-03-04,0
2008-03-05,16034
2008-03-06,18105
2008-03-07,29922
2008-03-08,40145
2008-03-09,151299
2008-03-10,44363
2008-03-11,17598
2008-03-12,10322
2008-03-13,7985
2008-03-14,6283
2008-03-15,4143
2008-03-16,4422
2008-03-17,6748
2008-03-18,5676
2008-03-19,5865
2008-03-20,6999
2008-03-21,4744
2008-03-22,4786
2008-03-23,5490
2008-03-24,6564
2008-03-25,7468
2008-03-26,6275
2008-03-27,6803
2008-03-28,7924
2008-03-29,14175
2008-03-30,19441
2008-03-31,10645
2008-04-01,6084
2008-04-02,5140
2008-04-03,4407
2008-04-04,3939
2008-04-05,3757
2008-04-06,4162
2008-04-07,5355
2008-04-08,3876
2008-04-09,3909
2008-04-10,3485
2008-04-11,2804
2008-04-12,1878
2008-04-13,2065
2008-04-14,3194
2008-04-15,3359
2008-04-16,3060
2008-04-17,2755
2008-04-18,1969
2008-04-19,1812
2008-04-20,1759
2008-04-21,2895
2008-04-22,2962
2008-04-23,2791
2008-04-24,2740
2008-04-25,2424
2008-04-26,1532
2008-04-27,1608
2008-04-28,2656
2008-04-29,2839
2008-04-30,2690
2008-05-01,2238
2008-05-02,2315
2008-05-03,1628
2008-05-04,1568
2008-05-05,2844
2008-05-06,3047
2008-05-07,2672
2008-05-08,2612
2008-05-09,2241
2008-05-10,1740
2008-05-11,1819
2008-05-12,2725
2008-05-13,2713
2008-05-14,2738
2008-05-15,2826
2008-05-16,2198
2008-05-17,1677
2008-05-18,2058
2008-05-19,2984
2008-05-20,2927
2008-05-21,2899
2008-05-22,2769
2008-05-23,2527
2008-05-24,1699
2008-05-25,1722
2008-05-26,2310
2008-05-27,2790
2008-05-28,2918
2008-05-29,2713
2008-05-30,2597
2008-05-31,1972
2008-06-01,0
2008-06-02,0
2008-06-03,3249
2008-06-04,3117
2008-06-05,2921
2008-06-06,2791
2008-06-07,2768
2008-06-08,1882
2008-06-09,2092
2008-06-10,2875
2008-06-11,2926
2008-06-12,2754
2008-06-13,2581
2008-06-14,2434
2008-06-15,1748
2008-06-16,1957
2008-06-17,3063
2008-06-18,3391
2008-06-19,3197
2008-06-20,3123
2008-06-21,3072
2008-06-22,2050
2008-06-23,2023
2008-06-24,3043
2008-06-25,2900
2008-06-26,2921
2008-06-27,2717
2008-06-28,2681
2008-06-29,1802
2008-06-30,1813
2008-07-02,2796
2008-07-03,2496
2008-07-04,2106
2008-07-05,1506
2008-07-06,1594
2008-07-07,2635
2008-07-08,2546
2008-07-09,2523
2008-07-10,2451
2008-07-11,1970
2008-07-12,1338
2008-08-01,2244
2008-08-02,1439
2008-08-03,1637
2008-08-04,2932
2008-08-05,2989
2008-08-06,2814
2008-08-07,3137
2008-08-08,2977
2008-08-09,1765
2008-08-10,1963
2008-08-11,2989
2008-08-12,3073
2008-08-13,2941
2008-08-14,2730
2008-08-15,2412
2008-08-16,1573
2008-08-17,1868
2008-08-18,3145
2008-08-19,3374
2008-08-20,2916
2008-08-21,2889
2008-08-22,2677
2008-08-23,1611
2008-08-24,1930
2008-08-25,3663
2008-08-26,3290
2008-08-27,3500
2008-08-28,3550
2008-08-29,3052
2008-08-30,2040
2008-08-31,2595
2008-09-01,3694
2008-09-02,5006
2008-09-03,4175
2008-09-04,3974
2008-09-05,3303
2008-09-06,2311
2008-09-07,2877
2008-09-08,5208
2008-09-09,5135
2008-09-10,4345
2008-09-11,4445
2008-09-12,4023
2008-09-13,2334
2008-09-14,3435
2008-09-15,6209
2008-09-16,5894
2008-09-17,6252
2008-09-18,5723
2008-09-19,5545
2008-09-20,3799
2008-09-21,6656
2008-09-22,17924
2008-09-23,9895
2008-09-24,8439
2008-09-25,7779
2008-09-26,6260
2008-09-27,4738
2008-09-28,6941
2008-09-29,13815
2008-09-30,10880
2008-10-01,12623
2008-10-02,11289
2008-10-03,10313
2008-10-04,10200
2008-10-05,12600
2008-10-06,19036
2008-10-07,13424
2008-10-08,11113
2008-10-09,11099
2008-10-10,9862
2008-10-11,7017
2008-10-12,10134
2008-10-13,17772
2008-10-14,17403
2008-10-15,14093
2008-10-16,13174
2008-10-17,12476
2008-10-18,9987
2008-10-19,15786
2008-10-20,35444
2008-10-21,0
2008-10-22,0
2008-10-23,28321
2008-10-24,30171
2008-10-25,41672
2008-10-26,168088
2008-10-27,123176
2008-10-28,35335
2008-10-29,29918
2008-10-30,42301
2008-10-31,32000
2008-11-01,51659
2008-11-02,771703
2008-11-03,31585
2008-11-04,13343
2008-11-05,7305
2008-11-06,5825
2008-11-07,5089
2008-11-08,3319
2008-11-09,3480
2008-11-10,4916
2008-11-11,4474
2008-11-12,4162
2008-11-13,3840
2008-11-14,3215
2008-11-15,2072
2008-11-16,2205
2008-11-17,3315
2008-11-18,3454
2008-11-19,3000
2008-11-20,2974
